Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-23,713.635,723.275,683.975,697.245,6392148
2020-03-24,697.72,721.115,684.94,718.94,4828436
2020-03-25,740.15,765.47,721.115,752.21,4325310
2020-03-26,759.445,810.065,753.415,782.345,4240277
2020-03-27,799.22,824.53,781.14,817.3,3660831
2020-03-30,813.665,841.56,796.69,840.34,2598512
2020-03-31,843.985,864.595,810.025,822.155,3446677
2020-04-01,818.515,852.47,800.325,802.75,4377723
2020-04-02,800.325,822.155,785.77,790.625,4103936
2020-04-03,793.055,834.28,793.055,808.815,3444202
2020-04-06,814.88,856.11,813.665,843.985,2832306
2020-04-07,847.62,853.685,816.095,834.28,2662009
2020-04-08,817.3,833.07,810.025,822.155,3502345
2020-04-09,818.515,820.94,778.5,790.625,4232169
2020-04-10,803.97,817.3,779.72,816.095,3054549
2020-04-13,801.545,824.58,795.475,807.605,2620776
2020-04-14,806.39,808.815,786.995,799.115,3458219
2020-04-15,803.97,835.49,793.055,831.85,3472241
2020-04-16,831.85,867.02,829.425,857.32,3859420
2020-04-17,873.085,875.51,828.22,833.07,3896118
2020-04-20,836.7,840.34,818.515,824.58,1678189
2020-04-21,825.79,837.92,808.815,814.88,2170098
2020-04-22,812.45,829.425,802.75,825.79,2640983
2020-04-23,830.65,842.765,813.665,819.73,1663345
2020-04-24,820.94,827.005,813.665,817.3,1608093
2020-04-27,814.88,824.58,806.39,808.815,2089693
2020-04-28,810.025,835.49,805.175,831.85,1928472
2020-04-30,828.22,831.85,791.835,799.115,2965898
2020-05-01,800.325,813.665,793.055,800.325,2518106
2020-05-07,823.365,831.85,801.545,824.58,2838492
2020-05-08,837.92,840.34,808.815,820.94,4240003
2020-05-11,853.685,890.06,841.56,869.44,6628227
2020-05-12,865.81,873.085,840.34,854.895,3925393
2020-05-13,825.79,848.835,813.665,846.405,3285046
2020-05-14,848.835,848.835,825.79,828.22,3118462
2020-05-15,824.58,858.535,824.58,852.47,2624078
2020-05-18,851.26,853.685,837.92,841.56,2388223
2020-05-19,843.985,845.2,825.79,837.92,2511098
2020-05-20,840.34,856.11,836.7,856.11,2141236
2020-05-21,860.955,882.78,859.745,881.575,3009609
2020-05-22,885.215,905.825,885.215,904.61,3153512
2020-05-25,907.035,909.46,887.64,899.765,2391109
2020-05-26,897.335,899.765,886.415,892.485,2278545
2020-05-27,873.085,883.995,869.44,883.995,2844259
2020-05-28,883.995,891.275,877.935,891.275,3173713
2020-05-29,896.12,936.145,894.915,922.805,6270324
2020-06-01,965.24,976.155,951.905,953.11,3724589
2020-06-02,949.485,954.33,933.715,945.845,2622013
2020-06-03,948.265,948.265,924.01,934.93,2519344
2020-06-04,934.93,950.69,931.29,949.485,2149482
2020-06-05,938.565,944.63,925.235,936.145,2113197
2020-06-08,940.99,940.99,911.89,919.165,1955274
2020-06-09,909.46,926.435,904.61,920.375,2562640
2020-06-10,937.355,965.24,932.505,953.11,2823232
2020-06-11,967.665,978.58,955.535,964.03,3034755
2020-06-12,955.535,966.45,942.205,947.055,3119287
2020-06-15,937.355,951.905,930.075,933.715,2829006
2020-06-16,956.755,960.395,936.145,942.205,1928472
2020-06-17,940.99,951.905,932.505,939.78,2226177
2020-06-18,943.415,955.535,933.715,942.205,2420383
2020-06-19,940.99,940.99,924.01,924.01,2975794
2020-06-22,921.59,957.965,911.89,953.11,2799729
2020-06-23,966.45,973.73,938.565,966.45,3202576
2020-06-24,962.82,974.945,955.535,974.945,2375026
2020-06-25,973.73,981.005,964.03,971.31,2051759
2020-06-26,970.085,995.56,964.03,989.5,1974244
2020-06-29,988.28,988.28,959.18,964.03,1545416
2020-06-30,956.755,957.965,942.205,950.69,2230298
2020-07-01,970.085,982.225,948.265,950.69,1915690
2020-07-02,964.03,976.155,942.205,960.395,2749427
2020-07-03,961.6,978.58,954.33,978.58,1568097
2020-07-06,983.43,988.28,964.03,970.085,1557375
2020-07-07,974.945,1004.05,973.73,1004.05,2782413
2020-07-08,1008.9,1016.18,990.7,993.135,2070729
2020-07-09,995.56,1016.18,989.5,1007.68,1992795
2020-07-10,1004.05,1014.96,999.195,1000.4,1940842
2020-07-13,1013.74,1024.66,993.135,1023.45,2621190
2020-07-14,1018.6,1033.16,988.28,995.56,2290912
